experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_periodic_graph,10000,test,1.4151851531364157,0.07177387891056473,,,,5,2780.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,RDKit_RF,300,test,6.599908721691095,0.7191155649856183,3.872388561645805,0.42114624192155,44.07592233045877,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,RDKit_RF,300,train,2.4135344429284222,0.18061367501002817,1.423491758528114,0.09319733449548626,5.857769806802438,5,300.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,RDKit_RF,300,val,7.0005197757388045,0.7544886533757179,3.933575813960237,0.46415092871025493,49.576530258582785,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,RDKit_RF,1000,test,6.352399750905505,0.5177119150996149,3.719573323663068,0.27957044673737924,40.621008222340436,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,RDKit_RF,1000,train,2.460522430323277,0.0793671430430312,1.4044597804021788,0.046694726780355064,6.060469773518777,5,1000.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,RDKit_RF,1000,val,6.434264783555976,0.6874764814032792,3.641942877637394,0.3676695833249377,41.87238721739126,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polyBERT,300,test,5.835426715390761,0.3851430300671645,3.7925210899776878,0.22736137534726977,34.20054010430552,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polyBERT,300,train,1.6442416332932084,1.1421551455839416,1.0740778894424439,0.8295882340353409,4.008048925238593,5,300.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polyBERT,300,val,6.152459373448777,0.20482629844644507,3.777966811392042,0.2645638760344281,37.89471015447299,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polyBERT,1000,test,4.590062074820194,0.40541300701816,2.9292137156592473,0.18023560765448032,21.23302955696218,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polyBERT,1000,train,0.8329640828087472,0.1847139215103869,0.5473999651908874,0.14086229959262547,0.7279483960491627,5,1000.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polyBERT,1000,val,4.440818690162838,0.3966721111650861,2.797461245854696,0.1955602997972073,19.878219402675757,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polymer_chemprop,300,test,4.626900473804663,0.565546143517119,,,,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polymer_chemprop,1000,test,3.141123131087492,0.5017071184197254,,,,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polymer_periodic_graph,300,test,6.151183045397789,0.6092250777917272,,,,5,180.0
MD_5000/Rg/homopolymer_Rg/seed_42,MD_5000,Rg,homopolymer,polymer_periodic_graph,1000,test,3.5261924745726096,0.622687586335703,,,,5,180.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,300,test,0.05398521320349645,0.0030321054112498486,0.03728359837123044,0.0021292552293738494,0.0029235969078518975,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,300,train,0.020913855168550134,0.002618824395308728,0.013377937649262678,0.0007064951841518625,0.00044424757922455535,5,300.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,300,val,0.05345615492229738,0.0031506014508485437,0.036996907415967256,0.0023314084297019304,0.0028674867885787473,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,1000,test,0.043959363784955775,0.0020540659034736174,0.029995407917273936,0.0011814965286922753,0.0019366448511138937,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,1000,train,0.01582409252258447,0.0004844967495950077,0.010760320675612275,0.0001219677675922638,0.0002506366412636819,5,1000.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,1000,val,0.04321063120305332,0.001486307655834504,0.02951039315794845,0.0012201223518499033,0.0018693677594140774,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,3000,test,0.036185219540989695,0.0012739686450117128,0.024621069082784528,0.0005206507120567232,0.0013109931093380953,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,3000,train,0.01378468876461544,0.0005380340416328051,0.009106598468904971,0.00018541907560724134,0.0001903071249672709,5,3000.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,3000,val,0.03582805357135567,0.0006010388267877002,0.024370243904623105,0.0005839359229953201,0.0012840106703832376,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,10000,test,0.02896830050982422,0.0007291321148810795,0.01983200166064025,0.00021106172482367335,0.0008396940680684333,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,10000,train,0.010944107930013247,0.00021023539284533127,0.007430281375908508,7.566609820923013e-05,0.00011981769730418368,5,10000.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,RDKit_RF,10000,val,0.02946275395090479,0.0007439473001570935,0.019877263412747384,0.00037755595244334664,0.0008686073279569669,5,2780.0
MD_5000/density/alternating_density/seed_42,MD_5000,density,alternating,polyBERT,300,test,0.09290387372773198,0.0019142127831226056,0.07119533338992716,0.0013580136902886395,0.008634793964197439,5,2780.0
